organization_id,source_id,document_title,reporting_period,official_url,evidence_type,group_dimension,flow_concept,source_defined_measure,value,unit,measurement_status,screening_status,notes
IND002,ORG_PUBLIC,Infosys Sustainability Report 2018-19,FY2018-19,https://www.infosys.com/sustainability/documents/infosys-sustainability-report-2018-19.pdf,new_hire_count,"India;31-50;Men",hires,"Total count of new employee hires by age, gender and region",4946,count,reported,Secondary,"Source table also reports an 11.54% hiring rate."
IND002,ORG_PUBLIC,Infosys Sustainability Report 2018-19,FY2018-19,https://www.infosys.com/sustainability/documents/infosys-sustainability-report-2018-19.pdf,new_hire_count,"India;31-50;Women",hires,"Total count of new employee hires by age, gender and region",1434,count,reported,Secondary,"Source table also reports a 5.21% hiring rate."
IND002,ORG_PUBLIC,Infosys Sustainability Report 2018-19,FY2018-19,https://www.infosys.com/sustainability/documents/infosys-sustainability-report-2018-19.pdf,new_hire_count,"America;>50;Men",hires,"Total count of new employee hires by age, gender and region",1117,count,reported,Secondary,"Source table also reports a 2.61% hiring rate."
IND002,ORG_PUBLIC,Infosys Sustainability Report 2018-19,FY2018-19,https://www.infosys.com/sustainability/documents/infosys-sustainability-report-2018-19.pdf,new_hire_count,"America;>50;Women",hires,"Total count of new employee hires by age, gender and region",274,count,reported,Secondary,"Source table also reports a 1.00% hiring rate."
IND002,ORG_PUBLIC,Infosys Sustainability Report 2018-19,FY2018-19,https://www.infosys.com/sustainability/documents/infosys-sustainability-report-2018-19.pdf,new_hire_count,"APAC;>50;Men",hires,"Total count of new employee hires by age, gender and region",63,count,reported,Secondary,"Source table also reports a 0.15% hiring rate."
IND002,ORG_PUBLIC,Infosys Sustainability Report 2018-19,FY2018-19,https://www.infosys.com/sustainability/documents/infosys-sustainability-report-2018-19.pdf,new_hire_count,"APAC;>50;Women",hires,"Total count of new employee hires by age, gender and region",19,count,reported,Secondary,"Source table also reports a 0.07% hiring rate."
IND002,ORG_PUBLIC,Infosys Sustainability Report 2018-19,FY2018-19,https://www.infosys.com/sustainability/documents/infosys-sustainability-report-2018-19.pdf,new_hire_count,"EMEA;>50;Men",hires,"Total count of new employee hires by age, gender and region",173,count,reported,Secondary,"Source table also reports a 0.40% hiring rate."
IND002,ORG_PUBLIC,Infosys Sustainability Report 2018-19,FY2018-19,https://www.infosys.com/sustainability/documents/infosys-sustainability-report-2018-19.pdf,new_hire_count,"EMEA;>50;Women",hires,"Total count of new employee hires by age, gender and region",57,count,reported,Secondary,"Source table also reports a 0.21% hiring rate."
IND002,ORG_PUBLIC,Infosys Sustainability Report 2018-19,FY2018-19,https://www.infosys.com/sustainability/documents/infosys-sustainability-report-2018-19.pdf,new_hire_count,"India;>50;Men",hires,"Total count of new employee hires by age, gender and region",25,count,reported,Secondary,"Source table also reports a 0.06% hiring rate."
IND002,ORG_PUBLIC,Infosys Sustainability Report 2018-19,FY2018-19,https://www.infosys.com/sustainability/documents/infosys-sustainability-report-2018-19.pdf,new_hire_count,"India;>50;Women",hires,"Total count of new employee hires by age, gender and region",2,count,reported,Secondary,"Source table also reports a 0.01% hiring rate."
IND002,ORG_PUBLIC,Infosys Sustainability Report 2018-19,FY2018-19,https://www.infosys.com/sustainability/documents/infosys-sustainability-report-2018-19.pdf,employee_turnover_count,"America;<30;Men",employee_turnover,"Total count and rate of employee turnover by age, gender and region",780,count,reported,Secondary,"Turnover is source-defined and not equivalent to firings."
IND002,ORG_PUBLIC,Infosys Sustainability Report 2018-19,FY2018-19,https://www.infosys.com/sustainability/documents/infosys-sustainability-report-2018-19.pdf,employee_turnover_count,"America;<30;Women",employee_turnover,"Total count and rate of employee turnover by age, gender and region",361,count,reported,Secondary,"Turnover is source-defined and not equivalent to firings."
IND002,ORG_PUBLIC,Infosys Sustainability Report 2018-19,FY2018-19,https://www.infosys.com/sustainability/documents/infosys-sustainability-report-2018-19.pdf,employee_turnover_count,"APAC;<30;Men",employee_turnover,"Total count and rate of employee turnover by age, gender and region",764,count,reported,Secondary,"Turnover is source-defined and not equivalent to firings."
IND002,ORG_PUBLIC,Infosys Sustainability Report 2018-19,FY2018-19,https://www.infosys.com/sustainability/documents/infosys-sustainability-report-2018-19.pdf,employee_turnover_count,"APAC;<30;Women",employee_turnover,"Total count and rate of employee turnover by age, gender and region",794,count,reported,Secondary,"Turnover is source-defined and not equivalent to firings."
IND002,ORG_PUBLIC,Infosys Sustainability Report 2018-19,FY2018-19,https://www.infosys.com/sustainability/documents/infosys-sustainability-report-2018-19.pdf,employee_turnover_count,"EMEA;<30;Men",employee_turnover,"Total count and rate of employee turnover by age, gender and region",367,count,reported,Secondary,"Turnover is source-defined and not equivalent to firings."
IND002,ORG_PUBLIC,Infosys Sustainability Report 2018-19,FY2018-19,https://www.infosys.com/sustainability/documents/infosys-sustainability-report-2018-19.pdf,employee_turnover_count,"EMEA;<30;Women",employee_turnover,"Total count and rate of employee turnover by age, gender and region",393,count,reported,Secondary,"Turnover is source-defined and not equivalent to firings."
IND002,ORG_PUBLIC,Infosys Sustainability Report 2018-19,FY2018-19,https://www.infosys.com/sustainability/documents/infosys-sustainability-report-2018-19.pdf,employee_turnover_count,"India;<30;Men",employee_turnover,"Total count and rate of employee turnover by age, gender and region",17498,count,reported,Secondary,"Turnover is source-defined and not equivalent to firings."
IND002,ORG_PUBLIC,Infosys Sustainability Report 2018-19,FY2018-19,https://www.infosys.com/sustainability/documents/infosys-sustainability-report-2018-19.pdf,employee_turnover_count,"India;<30;Women",employee_turnover,"Total count and rate of employee turnover by age, gender and region",12288,count,reported,Secondary,"Turnover is source-defined and not equivalent to firings."
IND002,ORG_PUBLIC,Infosys Sustainability Report 2018-19,FY2018-19,https://www.infosys.com/sustainability/documents/infosys-sustainability-report-2018-19.pdf,employee_turnover_count,"America;31-50;Men",employee_turnover,"Total count and rate of employee turnover by age, gender and region",1476,count,reported,Secondary,"Turnover is source-defined and not equivalent to firings."
IND002,ORG_PUBLIC,Infosys Sustainability Report 2018-19,FY2018-19,https://www.infosys.com/sustainability/documents/infosys-sustainability-report-2018-19.pdf,employee_turnover_count,"America;31-50;Women",employee_turnover,"Total count and rate of employee turnover by age, gender and region",731,count,reported,Secondary,"Turnover is source-defined and not equivalent to firings."
IND002,ORG_PUBLIC,Infosys Sustainability Report 2018-19,FY2018-19,https://www.infosys.com/sustainability/documents/infosys-sustainability-report-2018-19.pdf,employee_turnover_count,"APAC;31-50;Men",employee_turnover,"Total count and rate of employee turnover by age, gender and region",798,count,reported,Secondary,"Turnover is source-defined and not equivalent to firings."
IND002,ORG_PUBLIC,Infosys Sustainability Report 2018-19,FY2018-19,https://www.infosys.com/sustainability/documents/infosys-sustainability-report-2018-19.pdf,employee_turnover_count,"APAC;31-50;Women",employee_turnover,"Total count and rate of employee turnover by age, gender and region",512,count,reported,Secondary,"Turnover is source-defined and not equivalent to firings."
IND002,ORG_PUBLIC,Infosys Sustainability Report 2018-19,FY2018-19,https://www.infosys.com/sustainability/documents/infosys-sustainability-report-2018-19.pdf,employee_turnover_count,"EMEA;31-50;Men",employee_turnover,"Total count and rate of employee turnover by age, gender and region",605,count,reported,Secondary,"Turnover is source-defined and not equivalent to firings."
IND002,ORG_PUBLIC,Infosys Sustainability Report 2018-19,FY2018-19,https://www.infosys.com/sustainability/documents/infosys-sustainability-report-2018-19.pdf,employee_turnover_count,"EMEA;31-50;Women",employee_turnover,"Total count and rate of employee turnover by age, gender and region",376,count,reported,Secondary,"Turnover is source-defined and not equivalent to firings."
IND002,ORG_PUBLIC,Infosys Sustainability Report 2018-19,FY2018-19,https://www.infosys.com/sustainability/documents/infosys-sustainability-report-2018-19.pdf,employee_turnover_count,"India;31-50;Men",employee_turnover,"Total count and rate of employee turnover by age, gender and region",5849,count,reported,Secondary,"Turnover is source-defined and not equivalent to firings."
IND002,ORG_PUBLIC,Infosys Sustainability Report 2018-19,FY2018-19,https://www.infosys.com/sustainability/documents/infosys-sustainability-report-2018-19.pdf,employee_turnover_count,"India;31-50;Women",employee_turnover,"Total count and rate of employee turnover by age, gender and region",2040,count,reported,Secondary,"Turnover is source-defined and not equivalent to firings."
IND002,ORG_PUBLIC,Infosys Sustainability Report 2018-19,FY2018-19,https://www.infosys.com/sustainability/documents/infosys-sustainability-report-2018-19.pdf,employee_turnover_count,"America;>50;Men",employee_turnover,"Total count and rate of employee turnover by age, gender and region",441,count,reported,Secondary,"Turnover is source-defined and not equivalent to firings."
IND002,ORG_PUBLIC,Infosys Sustainability Report 2018-19,FY2018-19,https://www.infosys.com/sustainability/documents/infosys-sustainability-report-2018-19.pdf,employee_turnover_count,"America;>50;Women",employee_turnover,"Total count and rate of employee turnover by age, gender and region",88,count,reported,Secondary,"Turnover is source-defined and not equivalent to firings."
IND002,ORG_PUBLIC,Infosys Sustainability Report 2018-19,FY2018-19,https://www.infosys.com/sustainability/documents/infosys-sustainability-report-2018-19.pdf,employee_turnover_count,"APAC;>50;Men",employee_turnover,"Total count and rate of employee turnover by age, gender and region",38,count,reported,Secondary,"Turnover is source-defined and not equivalent to firings."
IND002,ORG_PUBLIC,Infosys Sustainability Report 2018-19,FY2018-19,https://www.infosys.com/sustainability/documents/infosys-sustainability-report-2018-19.pdf,employee_turnover_count,"APAC;>50;Women",employee_turnover,"Total count and rate of employee turnover by age, gender and region",10,count,reported,Secondary,"Turnover is source-defined and not equivalent to firings."
IND002,ORG_PUBLIC,Infosys Sustainability Report 2018-19,FY2018-19,https://www.infosys.com/sustainability/documents/infosys-sustainability-report-2018-19.pdf,employee_turnover_count,"EMEA;>50;Men",employee_turnover,"Total count and rate of employee turnover by age, gender and region",119,count,reported,Secondary,"Turnover is source-defined and not equivalent to firings."
IND002,ORG_PUBLIC,Infosys Sustainability Report 2018-19,FY2018-19,https://www.infosys.com/sustainability/documents/infosys-sustainability-report-2018-19.pdf,employee_turnover_count,"EMEA;>50;Women",employee_turnover,"Total count and rate of employee turnover by age, gender and region",25,count,reported,Secondary,"Turnover is source-defined and not equivalent to firings."
IND002,ORG_PUBLIC,Infosys Sustainability Report 2018-19,FY2018-19,https://www.infosys.com/sustainability/documents/infosys-sustainability-report-2018-19.pdf,employee_turnover_count,"India;>50;Men",employee_turnover,"Total count and rate of employee turnover by age, gender and region",31,count,reported,Secondary,"Turnover is source-defined and not equivalent to firings."
IND002,ORG_PUBLIC,Infosys Sustainability Report 2018-19,FY2018-19,https://www.infosys.com/sustainability/documents/infosys-sustainability-report-2018-19.pdf,employee_turnover_count,"India;>50;Women",employee_turnover,"Total count and rate of employee turnover by age, gender and region",2,count,reported,Secondary,"Turnover is source-defined and not equivalent to firings."
IND002,ORG_PUBLIC,Infosys Integrated Annual Report 2024-25,FY2024-25,https://www.infosys.com/investors/reports-filings/annual-report/annual/documents/infosys-ar-25.pdf,workforce_stock,gender,employment_end,"Permanent employees by gender at fiscal year end",323578,count,reported,Secondary,"Male 197,246 and female 126,332; workforce stock, not firing count."
IND002,ORG_PUBLIC,Infosys Integrated Annual Report 2024-25,FY2024-25,https://www.infosys.com/investors/reports-filings/annual-report/annual/documents/infosys-ar-25.pdf,turnover_rate,gender,employee_turnover,"Voluntary attrition for IT services excluding business process management services, fiscal 2025",14.5,percent,reported,Secondary,"Source reports male, female and total turnover rates; source-defined voluntary attrition is not relabeled as firings."
IND003,ORG_PUBLIC,Wipro ESG Dashboard FY 2020-21,FY2018-19,https://www.wipro.com/content/dam/nexus/en/investor/annual-reports/2020-2021/wipro-esg-dashboard-fy-2020-21.pdf,new_hire_count,region,hires,New Hire by region,7620,count,reported,Secondary,FY2018-19 source-year value reproduced in Wipro's later ESG dashboard.
IND003,ORG_PUBLIC,Wipro ESG Dashboard FY 2020-21,FY2018-19,https://www.wipro.com/content/dam/nexus/en/investor/annual-reports/2020-2021/wipro-esg-dashboard-fy-2020-21.pdf,new_hire_count,region,hires,New Hire by region,5872,count,reported,Secondary,FY2018-19 source-year value reproduced in Wipro's later ESG dashboard.
IND003,ORG_PUBLIC,Wipro ESG Dashboard FY 2020-21,FY2018-19,https://www.wipro.com/content/dam/nexus/en/investor/annual-reports/2020-2021/wipro-esg-dashboard-fy-2020-21.pdf,new_hire_count,region,hires,New Hire by region,1735,count,reported,Secondary,FY2018-19 source-year value reproduced in Wipro's later ESG dashboard.
IND003,ORG_PUBLIC,Wipro ESG Dashboard FY 2020-21,FY2018-19,https://www.wipro.com/content/dam/nexus/en/investor/annual-reports/2020-2021/wipro-esg-dashboard-fy-2020-21.pdf,new_hire_count,region,hires,New Hire by region,49616,count,reported,Secondary,FY2018-19 source-year value reproduced in Wipro's later ESG dashboard.
IND003,ORG_PUBLIC,Wipro ESG Dashboard FY 2020-21,FY2018-19,https://www.wipro.com/content/dam/nexus/en/investor/annual-reports/2020-2021/wipro-esg-dashboard-fy-2020-21.pdf,new_hire_count,region,hires,New Hire by region,480,count,reported,Secondary,FY2018-19 source-year value reproduced in Wipro's later ESG dashboard.
IND003,ORG_PUBLIC,Wipro ESG Dashboard FY 2020-21,FY2018-19,https://www.wipro.com/content/dam/nexus/en/investor/annual-reports/2020-2021/wipro-esg-dashboard-fy-2020-21.pdf,new_hire_count,age,hires,New Hire by age,43478,count,reported,Secondary,FY2018-19 source-year value reproduced in Wipro's later ESG dashboard.
IND003,ORG_PUBLIC,Wipro ESG Dashboard FY 2020-21,FY2018-19,https://www.wipro.com/content/dam/nexus/en/investor/annual-reports/2020-2021/wipro-esg-dashboard-fy-2020-21.pdf,new_hire_count,age,hires,New Hire by age,19906,count,reported,Secondary,FY2018-19 source-year value reproduced in Wipro's later ESG dashboard.
IND003,ORG_PUBLIC,Wipro ESG Dashboard FY 2020-21,FY2018-19,https://www.wipro.com/content/dam/nexus/en/investor/annual-reports/2020-2021/wipro-esg-dashboard-fy-2020-21.pdf,new_hire_count,age,hires,New Hire by age,1903,count,reported,Secondary,FY2018-19 source-year value reproduced in Wipro's later ESG dashboard.
IND003,ORG_PUBLIC,Wipro ESG Dashboard FY 2020-21,FY2018-19,https://www.wipro.com/content/dam/nexus/en/investor/annual-reports/2020-2021/wipro-esg-dashboard-fy-2020-21.pdf,new_hire_count,gender,hires,New Hire by gender,23697,count,reported,Secondary,FY2018-19 source-year value reproduced in Wipro's later ESG dashboard.
IND003,ORG_PUBLIC,Wipro ESG Dashboard FY 2020-21,FY2018-19,https://www.wipro.com/content/dam/nexus/en/investor/annual-reports/2020-2021/wipro-esg-dashboard-fy-2020-21.pdf,new_hire_count,gender,hires,New Hire by gender,41626,count,reported,Secondary,FY2018-19 source-year value reproduced in Wipro's later ESG dashboard.
IND003,ORG_PUBLIC,Wipro Sustainability Report FY 2018-19,FY2018-19,https://www.wipro.com/content/dam/nexus/en/sustainability/sustainability_reports/sustainability-report-fy-2018-19.pdf,attrition,overall,employee_turnover,"Voluntary attrition, IT Services excluding BPS",17.6,percent,reported,Secondary,Source-defined voluntary attrition; not relabeled as firings.
IND003,ORG_PUBLIC,Wipro Sustainability Report FY 2018-19,FY2018-19,https://www.wipro.com/content/dam/nexus/en/sustainability/sustainability_reports/sustainability-report-fy-2018-19.pdf,workforce_stock,gender,employment_end,Overall gender diversity,35.2,percent_women,reported,Secondary,"Workforce composition, not a firing count."
IND004,ORG_PUBLIC,HCLTech Sustainability Report 2025,FY2024-25,https://www.hcltech.com/sites/default/files/documents/resources/pdf-landing-page/files/2025/10/25/sustainability-report-fy25.pdf,new_hire_count,employment_group,hires,"Fresh graduates welcomed in FY25",7829,count,reported,Secondary,"Source reports 7,829 fresh graduates welcomed in FY25; this is a group-specific hiring count and is not a firing measure."
IND004,ORG_PUBLIC,HCLTech Sustainability Report 2025,FY2024-25,https://www.hcltech.com/sites/default/files/documents/resources/pdf-landing-page/files/2025/10/25/sustainability-report-fy25.pdf,turnover_rate,gender,employee_turnover,"Voluntary employee turnover rate, male, LTM-IT Services",13.06,percent,reported,Secondary,"Source-defined voluntary employee turnover; not relabeled as firings."
IND004,ORG_PUBLIC,HCLTech Sustainability Report 2025,FY2024-25,https://www.hcltech.com/sites/default/files/documents/resources/pdf-landing-page/files/2025/10/25/sustainability-report-fy25.pdf,turnover_rate,gender,employee_turnover,"Voluntary employee turnover rate, female, LTM-IT Services",12.81,percent,reported,Secondary,"Source-defined voluntary employee turnover; not relabeled as firings."
IND004,ORG_PUBLIC,HCLTech Sustainability Report 2025,FY2024-25,https://www.hcltech.com/sites/default/files/documents/resources/pdf-landing-page/files/2025/10/25/sustainability-report-fy25.pdf,turnover_rate,gender,employee_turnover,"Voluntary employee turnover rate, others, LTM-IT Services",5.66,percent,reported,Secondary,"Source-defined voluntary employee turnover; not relabeled as firings."
IND005,ORG_PUBLIC,Tech Mahindra Integrated Annual Report 2024-25,FY2024-25,https://insights.techmahindra.com/investors/tml-integrated-annual-report-fy-2024-2025.pdf,new_hire_count,"employment_group;gender;age",hires,"New employee hires and employee turnover (GRI Disclosure 401-1) - Junior management; female; <=30 years",17607,count,reported,Secondary,"Official FY2025 report table; source-defined hiring evidence. Not relabeled as firings."
IND005,ORG_PUBLIC,Tech Mahindra Integrated Annual Report 2024-25,FY2024-25,https://insights.techmahindra.com/investors/tml-integrated-annual-report-fy-2024-2025.pdf,new_hire_count,"employment_group;gender;age",hires,"New employee hires and employee turnover (GRI Disclosure 401-1) - Junior management; female; 31-50 years",4484,count,reported,Secondary,"Official FY2025 report table; source-defined hiring evidence. Not relabeled as firings."
IND005,ORG_PUBLIC,Tech Mahindra Integrated Annual Report 2024-25,FY2024-25,https://insights.techmahindra.com/investors/tml-integrated-annual-report-fy-2024-2025.pdf,new_hire_count,"employment_group;gender;age",hires,"New employee hires and employee turnover (GRI Disclosure 401-1) - Junior management; male; <=30 years",25648,count,reported,Secondary,"Official FY2025 report table; source-defined hiring evidence. Not relabeled as firings."
IND005,ORG_PUBLIC,Tech Mahindra Integrated Annual Report 2024-25,FY2024-25,https://insights.techmahindra.com/investors/tml-integrated-annual-report-fy-2024-2025.pdf,new_hire_count,"employment_group;gender;age",hires,"New employee hires and employee turnover (GRI Disclosure 401-1) - Junior management; male; 31-50 years",9885,count,reported,Secondary,"Official FY2025 report table; source-defined hiring evidence. Not relabeled as firings."
IND005,ORG_PUBLIC,Tech Mahindra Integrated Annual Report 2024-25,FY2024-25,https://insights.techmahindra.com/investors/tml-integrated-annual-report-fy-2024-2025.pdf,turnover_rate,employment_group,employee_turnover,"Annualised quarterly attrition, LTM - Junior management",12.6,percent,reported,Secondary,"Source-defined LTM attrition; not relabeled as firings."
IND005,ORG_PUBLIC,Tech Mahindra Integrated Annual Report 2024-25,FY2024-25,https://insights.techmahindra.com/investors/tml-integrated-annual-report-fy-2024-2025.pdf,turnover_rate,gender,employee_turnover,"Annualised quarterly attrition, LTM - Female",11.1,percent,reported,Secondary,"Source-defined LTM attrition; not relabeled as firings."
IND005,ORG_PUBLIC,Tech Mahindra Integrated Annual Report 2024-25,FY2024-25,https://insights.techmahindra.com/investors/tml-integrated-annual-report-fy-2024-2025.pdf,turnover_rate,gender,employee_turnover,"Annualised quarterly attrition, LTM - Male",12.5,percent,reported,Secondary,"Source-defined LTM attrition; not relabeled as firings."
UK001,ORG_PUBLIC,HSBC Holdings ESG Data Pack FY2024,FY2024,https://www.hsbc.com/-/files/hsbc/investors/hsbc-results/2024/annual/pdfs/hsbc-holdings-plc/250219-esg-datapack-2024.pdf,employee_turnover_count,gender,employee_turnover,"Total voluntary employee turnover - Male",8337,count,reported,Secondary,"Source-defined voluntary employee turnover count; not relabeled as firings."
UK001,ORG_PUBLIC,HSBC Holdings ESG Data Pack FY2024,FY2024,https://www.hsbc.com/-/files/hsbc/investors/hsbc-results/2024/annual/pdfs/hsbc-holdings-plc/250219-esg-datapack-2024.pdf,employee_turnover_count,gender,employee_turnover,"Total voluntary employee turnover - Female",8911,count,reported,Secondary,"Source-defined voluntary employee turnover count; not relabeled as firings."
UK001,ORG_PUBLIC,HSBC Holdings ESG Data Pack FY2024,FY2024,https://www.hsbc.com/-/files/hsbc/investors/hsbc-results/2024/annual/pdfs/hsbc-holdings-plc/250219-esg-datapack-2024.pdf,employee_turnover_count,age,employee_turnover,"Total voluntary employee turnover - <=29",6850,count,reported,Secondary,"Source-defined voluntary employee turnover count; not relabeled as firings."
UK001,ORG_PUBLIC,HSBC Holdings ESG Data Pack FY2024,FY2024,https://www.hsbc.com/-/files/hsbc/investors/hsbc-results/2024/annual/pdfs/hsbc-holdings-plc/250219-esg-datapack-2024.pdf,employee_turnover_count,age,employee_turnover,"Total voluntary employee turnover - 30-39",6489,count,reported,Secondary,"Source-defined voluntary employee turnover count; not relabeled as firings."
UK001,ORG_PUBLIC,HSBC Holdings ESG Data Pack FY2024,FY2024,https://www.hsbc.com/-/files/hsbc/investors/hsbc-results/2024/annual/pdfs/hsbc-holdings-plc/250219-esg-datapack-2024.pdf,employee_turnover_count,age,employee_turnover,"Total voluntary employee turnover - 40-49",2540,count,reported,Secondary,"Source-defined voluntary employee turnover count; not relabeled as firings."
UK001,ORG_PUBLIC,HSBC Holdings ESG Data Pack FY2024,FY2024,https://www.hsbc.com/-/files/hsbc/investors/hsbc-results/2024/annual/pdfs/hsbc-holdings-plc/250219-esg-datapack-2024.pdf,employee_turnover_count,age,employee_turnover,"Total voluntary employee turnover - 50-59",891,count,reported,Secondary,"Source-defined voluntary employee turnover count; not relabeled as firings."
UK001,ORG_PUBLIC,HSBC Holdings ESG Data Pack FY2024,FY2024,https://www.hsbc.com/-/files/hsbc/investors/hsbc-results/2024/annual/pdfs/hsbc-holdings-plc/250219-esg-datapack-2024.pdf,employee_turnover_count,age,employee_turnover,"Total voluntary employee turnover - >=60",478,count,reported,Secondary,"Source-defined voluntary employee turnover count; not relabeled as firings."
UK001,ORG_PUBLIC,HSBC Holdings ESG Data Pack FY2024,FY2024,https://www.hsbc.com/-/files/hsbc/investors/hsbc-results/2024/annual/pdfs/hsbc-holdings-plc/250219-esg-datapack-2024.pdf,employee_turnover_count,region,employee_turnover,"Total voluntary employee turnover - Asia (excluding Hong Kong)",9248,count,reported,Secondary,"Source-defined voluntary employee turnover count; not relabeled as firings."
UK001,ORG_PUBLIC,HSBC Holdings ESG Data Pack FY2024,FY2024,https://www.hsbc.com/-/files/hsbc/investors/hsbc-results/2024/annual/pdfs/hsbc-holdings-plc/250219-esg-datapack-2024.pdf,employee_turnover_count,region,employee_turnover,"Total voluntary employee turnover - Hong Kong",2160,count,reported,Secondary,"Source-defined voluntary employee turnover count; not relabeled as firings."
